Treino,Média
2012-2013_treino_191.csv_128-1,0.62
2012-2013_treino_192.csv_128-1,0.62
2012-2013_treino_193.csv_128-1,0.62
2012-2013_treino_194.csv_128-1,0.62
2012-2013_treino_195.csv_128-1,0.62
2012-2013_treino_196.csv_128-1,0.62
2012-2013_treino_197.csv_128-1,0.63
2012-2013_treino_198.csv_128-1,0.63
2012-2013_treino_199.csv_128-1,0.62
2012-2013_treino_200.csv_128-1,0.63
2012-2013_treino_201.csv_128-1,0.63
2012-2013_treino_202.csv_128-1,0.63
2012-2013_treino_203.csv_128-1,0.63
2012-2013_treino_204.csv_128-1,0.64
2012-2013_treino_205.csv_128-1,0.64
2012-2013_treino_206.csv_128-1,0.64
2012-2013_treino_207.csv_128-1,0.64
2012-2013_treino_208.csv_128-1,0.64
2012-2013_treino_209.csv_128-1,0.65
2012-2013_treino_210.csv_128-1,0.65
2012-2013_treino_211.csv_128-1,0.65
2012-2013_treino_212.csv_128-1,0.64
2012-2013_treino_213.csv_128-1,0.64
2012-2013_treino_214.csv_128-1,0.65
2012-2013_treino_215.csv_128-1,0.64
2012-2013_treino_216.csv_128-1,0.64
2012-2013_treino_217.csv_128-1,0.64
2012-2013_treino_218.csv_128-1,0.65
2012-2013_treino_219.csv_128-1,0.65
2012-2013_treino_220.csv_128-1,0.65
2012-2013_treino_221.csv_128-1,0.66
2012-2013_treino_222.csv_128-1,0.66
2013-2014_treino_1.csv_128-1,0.55
2013-2014_treino_2.csv_128-1,0.55
2013-2014_treino_3.csv_128-1,0.56
2013-2014_treino_4.csv_128-1,0.55
2013-2014_treino_5.csv_128-1,0.55
2013-2014_treino_6.csv_128-1,0.56
2013-2014_treino_7.csv_128-1,0.55
2013-2014_treino_8.csv_128-1,0.55
2013-2014_treino_9.csv_128-1,0.55
2013-2014_treino_10.csv_128-1,0.55
2013-2014_treino_11.csv_128-1,0.55
2013-2014_treino_12.csv_128-1,0.55
2013-2014_treino_13.csv_128-1,0.55
2013-2014_treino_14.csv_128-1,0.55
2013-2014_treino_15.csv_128-1,0.54
2013-2014_treino_16.csv_128-1,0.55
2013-2014_treino_17.csv_128-1,0.55
2013-2014_treino_18.csv_128-1,0.55
2013-2014_treino_19.csv_128-1,0.56
2013-2014_treino_20.csv_128-1,0.57
2013-2014_treino_21.csv_128-1,0.58
2013-2014_treino_22.csv_128-1,0.58
2013-2014_treino_23.csv_128-1,0.58
2013-2014_treino_24.csv_128-1,0.58
2013-2014_treino_25.csv_128-1,0.58
2013-2014_treino_26.csv_128-1,0.58
2013-2014_treino_27.csv_128-1,0.59
2013-2014_treino_28.csv_128-1,0.59
2013-2014_treino_29.csv_128-1,0.59
2013-2014_treino_30.csv_128-1,0.59
2013-2014_treino_31.csv_128-1,0.59
2013-2014_treino_32.csv_128-1,0.59
2013-2014_treino_33.csv_128-1,0.59
2013-2014_treino_34.csv_128-1,0.59
2013-2014_treino_35.csv_128-1,0.59
2013-2014_treino_36.csv_128-1,0.58
2013-2014_treino_37.csv_128-1,0.59
2013-2014_treino_38.csv_128-1,0.59
2013-2014_treino_39.csv_128-1,0.58
2013-2014_treino_40.csv_128-1,0.57
2013-2014_treino_41.csv_128-1,0.57
